Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	32018.598	6168.8564	38972.293	24168.656	24.0	1623.8342	-0.5135953	0.20864551	-0.14571208	-1.0867773	360	2.2914675e-07	309714180.0	0.011779105	-75141120.0	-0.5810618	0.32788232	0.65555555	1.0	66.21028017997742
1	29627.834	5526.3984	39539.1	22159.535	24.0	1543.7125	3570.8132	1427.0704	6579.1963	1684.5309	720	1.622571e-07	178654290.0	0.029228838	-94101950.0	-0.58166146	0.2935138	0.7027778	1.0	135.14195036888123
2	31487.861	7402.2646	39284.48	18625.484	24.0	1606.23	11353.473	3765.6553	20696.994	6149.314	1080	-5.6624412e-08	118749840.0	-0.027169265	-43150104.0	-0.5815963	0.08249678	0.2611111	2.0	200.35858917236328
3	31919.633	6020.094	39124.94	22580.104	24.0	1608.1917	14487.941	3508.4187	23451.76	7797.884	1440	8.8082416e-08	82705220.0	-0.031965405	-26218152.0	-0.58145744	0.085645065	0.4861111	2.0	268.60947823524475
4	29907.824	5346.0776	38876.3	23567.26	24.0	1546.6233	13358.036	3565.6357	24870.5	6175.809	1800	-1.1589792e-08	55823820.0	-0.078578204	-18646600.0	-0.581388	0.08145684	0.46944445	12.0	332.51021003723145
5	28587.254	6508.9546	39629.945	19217.326	24.0	1531.3605	14917.107	5446.4126	30993.982	2338.0928	2160	2.1855037e-08	39559548.0	-0.072139	-22449690.0	-0.58162975	0.075911194	0.45277777	7.0	393.8533103466034
6	31593.035	6451.5957	39172.938	21826.016	24.0	1600.0212	14399.05	6498.329	35385.297	2353.9202	2520	-3.443824e-08	38423828.0	-0.069446556	-18231406.0	-0.5844879	0.08447546	0.51111114	9.0	458.4349591732025
7	33120.125	5267.509	39133.76	25474.207	24.0	1627.3141	13965.542	7867.4272	34905.77	11.723477	2880	3.3775965e-08	48266710.0	-0.107716225	-33590630.0	-0.58811665	0.07666158	0.63055557	20.0	527.0302810668945
8	30502.908	4953.9385	38941.383	22334.004	24.0	1552.9111	17869.395	9540.304	45511.55	7.5202446	3240	4.0398703e-08	66401900.0	-0.11735761	-44349550.0	-0.5948637	0.0833701	0.5972222	16.0	595.0797250270844
9	29881.846	5767.8555	39058.24	20835.555	24.0	1554.6257	12910.675	6718.5215	26693.598	173.78148	3600	-2.231035e-08	24242458.0	-0.058914248	-9755196.0	-0.5950921	0.089250036	0.4888889	5.0	661.983048915863
10	29118.48	4932.848	38707.836	20373.88	24.0	1509.1044	15380.775	7275.7754	39587.848	1321.5393	3960	2.2765663e-08	21162832.0	-0.08001361	-9641935.0	-0.5941772	0.079258874	0.51111114	9.0	727.4412112236023
11	28146.475	4853.7134	38955.37	20253.63	24.0	1506.2333	14508.467	7706.2793	37208.38	1624.0999	4320	2.0199352e-08	30704870.0	-0.08323241	-13894612.0	-0.5933686	0.07753516	0.51944447	10.0	790.6179811954498
12	29517.824	5826.5293	39399.492	24824.615	24.0	1538.1666	11132.158	5398.601	25145.186	752.67633	4680	2.5497542e-08	34214264.0	-0.08101219	-25230526.0	-0.59554464	0.07530193	0.5388889	9.0	857.3270483016968
13	30943.605	5063.571	39174.54	23605.082	24.0	1562.3898	14266.97	7204.2905	35033.273	1382.2325	5040	3.4521022e-08	28953760.0	-0.06496412	-13109759.0	-0.5959167	0.08605997	0.48055556	6.0	921.064553976059
14	29951.393	5038.422	39181.918	21397.852	24.0	1543.94	14197.99	7306.2017	39727.53	823.96173	5400	-9.934108e-10	17619368.0	-0.08268707	-10788247.0	-0.5959001	0.08188703	0.59444445	10.0	985.7081253528595
15	29673.812	5026.3325	38872.785	23392.727	24.0	1541.9803	16678.791	8266.33	43744.355	590.1545	5760	-1.821253e-08	30679146.0	-0.073663935	-18893340.0	-0.59450555	0.08636268	0.55277777	6.0	1051.519564151764
16	30355.775	4947.0796	38845.715	24444.994	24.0	1553.4934	12472.21	7315.385	32631.463	19.66438	6120	-1.134144e-08	33979972.0	-0.06665226	-19879064.0	-0.59409004	0.09344652	0.5	7.0	1116.6695001125336
17	31225.604	5277.458	38498.438	22083.475	24.0	1583.1526	14563.586	7990.753	43724.88	616.68225	6480	-3.8080747e-09	30656114.0	-0.03048045	-16311308.0	-0.5942017	0.07534568	0.4	3.0	1183.4321479797363
18	28058.807	4082.7478	38133.336	23951.96	24.0	1515.019	14587.619	6991.159	35081.344	1287.7152	6840	-1.5563435e-08	16210701.0	-0.0664649	-9528238.0	-0.59394264	0.0802098	0.51111114	5.0	1251.719181060791
19	30145.674	4968.091	38790.73	23970.904	24.0	1545.4618	14385.152	6929.9663	35034.848	1016.4755	7200	2.3220975e-08	26737918.0	-0.054026566	-12717054.0	-0.5932253	0.0952739	0.44166666	4.0	1319.5853860378265
