Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	38269.16	0.0	38269.16	38269.16	24.0	1851.3746	0.46268192	0.2791029	1.0119451	-0.102197595	24	-14974.813	437416580.0	2544.416	-88646340.0	-0.5810616	0.31180656	0.9166667	1.0	6.214353084564209
1	36559.043	0.0	36559.043	36559.043	24.0	1734.7306	2660.8127	718.4813	3593.9604	1527.4656	48	-12349.581	310554500.0	2953.4932	-232558880.0	-0.5804616	0.48107734	0.9166667	1.0	10.576154947280884
2	35533.33	0.0	35533.33	35533.33	24.0	1734.9149	19266.836	3827.3284	25999.023	13124.697	72	383.24106	81392936.0	-311.8125	-17382860.0	-0.5800956	0.46661994	0.875	1.0	15.458257913589478
3	34165.5	0.0	34165.5	34165.5	24.0	1735.809	19233.521	4012.0305	25647.781	12289.503	96	900.1704	70321980.0	-422.27023	-13981376.0	-0.57990044	0.22904174	0.75	1.0	20.188015937805176
4	34106.33	0.0	34106.33	34106.33	24.0	1717.4429	16835.568	3570.5808	22230.217	8668.103	120	-806.5711	63274492.0	-51.46454	-7285196.0	-0.5796163	0.24343751	0.5416667	1.0	25.171534061431885
5	33237.19	0.0	33237.19	33237.19	24.0	1864.1963	18371.791	1335.2563	20253.537	15452.61	144	715.3921	72006350.0	-757.1689	-20330528.0	-0.5794458	0.46878067	0.875	1.0	29.954061269760132
6	35107.848	0.0	35107.848	35107.848	24.0	1752.6666	15169.117	3590.3765	19804.098	7081.1553	168	-2244.8503	57868636.0	-98.68921	-24960286.0	-0.57950765	0.11750853	0.7916667	5.0	35.05679225921631
7	32131.697	0.0	32131.697	32131.697	24.0	1860.3853	18458.295	3356.6038	26341.889	12116.0	192	1486.6073	48943820.0	89.3186	-35749428.0	-0.58017755	0.25471437	0.625	1.0	39.918166160583496
8	32258.668	0.0	32258.668	32258.668	24.0	1856.2944	18369.662	6681.4585	26789.434	5962.3296	216	1843.4418	19229424.0	-35.70691	-15611415.0	-0.58032733	0.12473931	0.5416667	1.0	44.698704957962036
9	32863.44	0.0	32863.44	32863.44	24.0	1713.4976	19078.592	9744.322	32117.254	3574.7244	240	2062.6868	39516584.0	-72.75989	-31931880.0	-0.58044225	0.09759682	0.5416667	1.0	49.76859402656555
10	33533.047	0.0	33533.047	33533.047	24.0	1727.1771	14174.165	7753.3755	28831.54	3497.4563	264	-1885.2614	12404299.0	-164.89075	-6752622.5	-0.58065593	0.11432705	0.7916667	2.0	54.07722020149231
11	32980.707	0.0	32980.707	32980.707	24.0	1709.7609	18445.717	8904.99	31452.4	4367.45	288	1657.8827	10758951.0	-191.45984	-7477767.0	-0.5810088	0.1376247	0.7916667	3.0	58.93433618545532
12	32320.234	0.0	32320.234	32320.234	24.0	1699.649	16268.1045	7828.9155	26457.354	3292.8193	312	177.98631	5622326.0	-56.449486	-2031293.2	-0.5813166	0.07640741	0.41666666	1.0	63.459041118621826
13	32543.043	0.0	32543.043	32543.043	24.0	1704.2487	15499.395	8432.366	28049.383	2100.2273	336	-372.8912	4133228.2	-14.829956	-1506182.0	-0.58138204	0.112022825	0.5416667	2.0	67.56634616851807
14	29415.586	0.0	29415.586	29415.586	24.0	1874.4315	15708.34	8532.112	28570.281	2729.839	360	1213.6743	7114244.0	-63.268677	-4819039.0	-0.58151954	0.08249333	0.5	3.0	71.86381697654724
15	28395.4	0.0	28395.4	28395.4	24.0	1893.5375	13748.958	7114.397	24573.6	3733.6057	384	175.68005	3250239.2	-75.85443	-1173665.6	-0.5818301	0.083221585	0.41666666	23.0	76.46261215209961
16	28775.06	0.0	28775.06	28775.06	24.0	1877.79	12979.995	7164.3457	22978.75	2877.8352	408	-623.17834	3110498.0	-11.169922	-1228512.9	-0.5791946	0.08556682	0.5	5.0	81.24084615707397
17	31880.451	0.0	31880.451	31880.451	24.0	1725.5483	20470.725	7948.243	29896.291	4356.2754	432	3343.869	49837996.0	-456.31592	-47741990.0	-0.57869595	0.13459726	0.375	2.0	86.0672390460968
18	28508.11	0.0	28508.11	28508.11	24.0	1905.1906	12896.406	7873.34	24597.275	1909.2775	456	-433.8787	4520148.0	-0.6585388	-1209371.8	-0.5787154	0.12579729	0.5416667	2.0	91.54206013679504
19	31132.502	0.0	31132.502	31132.502	24.0	1697.8832	16742.816	7687.443	26394.957	3200.857	480	1063.037	5498647.0	-120.16766	-4540223.0	-0.5786806	0.12972675	0.33333334	3.0	96.47848105430603
20	31276.916	0.0	31276.916	31276.916	24.0	1707.07	15384.117	8067.5625	27558.617	2241.0842	504	162.31293	1986063.0	-72.00413	-776410.4	-0.5784641	0.12534557	0.5833333	3.0	102.07901501655579
21	31887.338	0.0	31887.338	31887.338	24.0	1753.2676	13776.085	7856.04	26959.875	1234.8501	528	-1305.7134	4501704.5	-252.36292	-3354335.5	-0.57821476	-0.19365461	0.7083333	79.0	107.66677618026733
22	33051.965	0.0	33051.965	33051.965	24.0	1716.1198	15967.258	8619.876	27000.393	1190.3726	552	-105.75214	1868963.1	-162.20535	-1124713.9	-0.5870372	0.07862094	0.5833333	3.0	112.39210295677185
23	33288.17	0.0	33288.17	33288.17	24.0	1745.2588	15496.89	8155.3105	30297.934	2880.8496	576	-559.1927	4514864.0	-63.617676	-2611064.0	-0.58750975	0.084807694	0.5	2.0	117.0056791305542
24	31763.006	0.0	31763.006	31763.006	24.0	1696.4867	16404.436	8443.207	27925.531	876.23114	600	558.52924	5267031.5	-136.91388	-3555119.5	-0.5877215	0.08641499	0.45833334	1.0	123.85329103469849
25	32158.06	0.0	32158.06	32158.06	24.0	1714.3876	15086.227	8879.235	28157.316	1444.784	624	-470.07788	4007141.2	-100.447754	-2411400.0	-0.587814	0.13982724	0.9583333	3.0	130.2137701511383
26	29532.02	0.0	29532.02	29532.02	24.0	1894.8848	14047.992	8896.818	28913.148	2619.7327	648	206.5645	4946226.5	29.882965	-3009856.5	-0.587962	0.08147923	0.41666666	2.0	136.10478401184082
27	29466.46	0.0	29466.46	29466.46	24.0	1831.7836	15500.953	8097.8877	26909.984	2614.2922	672	1144.2344	3625130.0	-55.242188	-3096368.2	-0.5881272	0.07565961	0.29166666	4.0	141.55395889282227
28	32758.465	0.0	32758.465	32758.465	24.0	1722.273	16527.016	7529.5244	26368.143	2430.8293	696	260.30948	4877099.5	-45.2894	-4269063.5	-0.5885599	0.07569844	0.5	3.0	146.972736120224
29	32003.66	0.0	32003.66	32003.66	24.0	1708.4962	15090.7295	8137.6465	27326.955	1085.0983	720	-531.3292	2434468.8	-226.67181	-1035765.6	-0.5887258	-0.0421652	0.875	79.0	152.62316012382507
30	30818.75	0.0	30818.75	30818.75	24.0	1877.79	12209.48	8581.024	25162.303	1227.271	744	-1654.2804	8290711.5	161.86047	-6759453.0	-0.58508426	0.08974125	0.75	30.0	158.30958914756775
31	30104.848	0.0	30104.848	30104.848	24.0	1894.703	13827.523	8032.503	27059.264	1809.0879	768	-377.25485	1542623.1	-124.98636	-589518.56	-0.6017926	0.08274981	0.8333333	77.0	163.75102400779724
