Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	36098.12	0.0	36098.12	36098.12	24.0	1677.4287	-0.21078686	0.086723	-0.10793207	-0.35703784	24	-14024.833	380720800.0	-2804.9658	-67816640.0	-0.5810616	-0.6592948	1.0	79.0	6.6801066398620605
1	36928.297	0.0	36928.297	36928.297	24.0	1720.6045	2187.8782	920.607	3639.8127	982.75433	48	-12850.723	334167740.0	-2570.1475	-183266690.0	-0.57597524	-0.53805405	1.0	79.0	11.523138761520386
2	38515.715	0.0	38515.715	38515.715	24.0	1888.7396	8078.017	895.9146	9378.698	6616.3496	72	-9266.554	226657090.0	-2179.0918	-113454370.0	-0.59427553	-0.1503309	0.9166667	79.0	16.816133737564087
3	37787.55	0.0	37787.55	37787.55	24.0	1890.8628	17900.291	1150.0803	20065.44	15940.163	96	-1705.6161	113004730.0	-1286.8944	-33697080.0	-0.6219577	0.08843657	0.625	3.0	21.864386796951294
4	38149.992	0.0	38149.992	38149.992	24.0	1845.6376	22797.781	4322.177	29324.98	15183.841	120	2297.0618	87789970.0	-803.20325	-55584350.0	-0.6218401	0.14138548	0.5833333	2.0	26.836145877838135
5	36930.01	0.0	36930.01	36930.01	24.0	1684.0392	30999.75	14130.187	54005.27	9714.596	144	8623.513	425166430.0	-1904.3096	-333181280.0	-0.6221049	0.18391252	0.6666667	1.0	31.72788691520691
6	37098.02	0.0	37098.02	37098.02	24.0	1703.043	17337.29	7502.193	28494.852	5127.3833	168	-1437.1947	95288550.0	-502.0559	-32849180.0	-0.6220987	0.0752613	0.5416667	1.0	36.74680280685425
7	36805.973	0.0	36805.973	36805.973	24.0	1699.3654	13761.547	5309.8115	20340.363	2907.8677	192	-3862.9668	82278320.0	-682.76514	-40934140.0	-0.6222293	0.100830674	0.6666667	7.0	41.53402495384216
8	36999.66	0.0	36999.66	36999.66	24.0	1700.8008	18816.977	7194.4526	29838.758	3576.96	216	91.26459	43411548.0	-497.2863	-24085666.0	-0.6223935	0.091211446	0.5	1.0	46.47394680976868
9	38010.223	0.0	38010.223	38010.223	24.0	1892.6141	10464.187	7399.243	24176.777	252.27545	240	-6215.5664	73301230.0	-1167.1128	-70165550.0	-0.622218	-0.32838246	0.7916667	79.0	51.47085690498352
