Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	31668.422	0.0	31668.422	31668.422	24.0	1688.141	15975.817	7867.201	29007.576	2374.2847	672	457.43533	2386675.0	-106.98688	-1203929.1	-0.6632128	0.092351206	0.20833333	6.0	4204.330812931061
28	31252.502	0.0	31252.502	31252.502	24.0	1680.7281	14397.426	6666.528	27889.256	1859.2518	696	-578.93896	1646054.4	-138.57	-819859.4	-0.6641729	-0.13446891	0.5416667	79.0	4215.0372478961945
29	32609.941	0.0	32609.941	32609.941	24.0	1704.2487	14545.155	7560.259	29590.549	1151.63	720	-845.0953	2623913.2	-199.64447	-1381613.4	-0.67252856	-0.1810052	0.75	79.0	4225.294987916946
30	34849.05	0.0	34849.05	34849.05	24.0	1749.3877	14324.888	7819.421	29513.705	2501.2905	744	-1978.7212	10396028.0	-370.60693	-7778674.0	-0.67916673	-0.13589562	0.7083333	79.0	4234.937196969986
31	32513.934	0.0	32513.934	32513.934	24.0	1710.5547	18426.742	8654.135	34099.906	3230.0747	768	2013.8143	11014142.0	-166.89868	-9154385.0	-0.67520654	0.0867605	0.41666666	3.0	4244.086356878281
32	33017.023	0.0	33017.023	33017.023	24.0	1689.6002	17597.678	8181.6055	32052.158	2590.495	792	1086.4935	4483825.5	-48.50879	-2939221.0	-0.6747959	0.13014917	0.41666666	4.0	4253.683292865753
33	34229.35	0.0	34229.35	34229.35	24.0	1753.0468	14543.75	7703.7783	28817.602	1013.9527	816	-1628.0636	7892458.0	-344.5819	-6326143.5	-0.6743202	-0.13202347	0.75	79.0	4264.171181917191
34	33652.64	0.0	33652.64	33652.64	24.0	1714.3947	18066.092	9353.044	33822.41	1264.5222	840	1244.7759	4682494.0	-175.19836	-4022211.5	-0.6677791	0.1134946	0.29166666	6.0	4273.959436893463
35	38200.426	0.0	38200.426	38200.426	24.0	1878.1683	11344.001	7696.3013	25599.293	681.9174	864	-5687.864	62607188.0	-1071.294	-54570996.0	-0.6675843	-0.33583736	0.7916667	79.0	4283.964612722397
36	37849.81	0.0	37849.81	37849.81	24.0	1816.4655	22021.963	9841.099	40485.883	6842.358	888	2648.4915	17611434.0	-276.292	-14249520.0	-0.7043236	0.1552151	0.41666666	2.0	4294.560800790787
