Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	40638.418	0.0	40638.418	40638.418	24.0	1871.3021	-1.1500976	0.3778836	-0.6971855	-2.3267918	24	-15965.469	495365470.0	5234.2764	-49057120.0	-0.5810616	0.25449058	0.9166667	1.0	6.4320149421691895
1	41463.92	0.0	41463.92	41463.92	24.0	1873.2037	1176.7108	368.33066	2283.8767	570.8893	48	-15347.866	464739230.0	4297.377	-350217700.0	-0.58126163	0.15971278	0.7916667	1.0	10.773105144500732
2	36141.312	0.0	36141.312	36141.312	24.0	1669.193	20105.518	6288.1895	37005.29	7665.5854	72	1000.5157	105274690.0	-749.7128	-22826256.0	-0.58138204	0.17468052	0.9166667	1.0	1623.7274119853973
3	40876.11	0.0	40876.11	40876.11	24.0	1781.3032	14054.993	4535.4287	28986.896	7094.856	96	-5394.6313	148678580.0	302.99707	-28302424.0	-0.5814689	0.08509001	0.7083333	1.0	1627.9626548290253
4	41483.605	0.0	41483.605	41483.605	24.0	1852.3955	18818.229	6120.965	34437.324	10683.58	120	-2085.5715	122687520.0	-78.67651	-36040120.0	-0.58129096	0.21050496	0.6666667	1.0	1631.9134168624878
5	37104.918	0.0	37104.918	37104.918	24.0	1681.1107	33571.418	13323.782	53971.824	17174.875	144	10079.249	503909630.0	-732.1211	-427069920.0	-0.5811573	0.66043097	0.625	1.0	1635.691018819809
6	37490.58	0.0	37490.58	37490.58	24.0	1713.4976	16505.828	4395.939	29909.754	8732.503	168	-2247.5276	89055430.0	-205.49146	-5274040.0	-0.5811102	0.29577938	0.5	1.0	1639.534245967865
7	36939.945	0.0	36939.945	36939.945	24.0	1690.1982	16821.65	4327.4854	30004.15	9745.177	192	-1664.9248	75137256.0	130.81787	-4521488.0	-0.58114624	0.2017094	0.5	1.0	1643.401027917862
8	37999.266	0.0	37999.266	37999.266	24.0	1736.4259	17005.67	5136.9023	35773.496	9544.553	216	-1988.0287	72591770.0	-580.1393	-9273364.0	-0.5811813	0.081985965	0.8333333	9.0	1647.2335050106049
9	42742.34	0.0	42742.34	42742.34	24.0	1881.1632	12898.972	5207.58	31762.902	6476.866	240	-7064.856	188139980.0	-1580.8208	-77992270.0	-0.580885	-0.09201235	0.625	79.0	1651.378336906433
10	43309.203	0.0	43309.203	43309.203	24.0	1913.777	20159.377	4013.161	37298.31	16411.346	264	-1895.2162	120188696.0	-1197.1725	-9371712.0	-0.59279925	0.07870586	0.45833334	19.0	1655.5151300430298
11	36829.426	0.0	36829.426	36829.426	24.0	1685.7008	40864.51	12678.422	61571.715	23219.016	288	15663.469	772405250.0	89.194336	-707582300.0	-0.58929473	0.41909936	0.75	1.0	1659.6551949977875
12	42437.28	0.0	42437.28	42437.28	24.0	1851.501	11995.07	3926.5618	26714.05	6852.6216	312	-7550.3296	177203730.0	-1860.7603	-69224910.0	-0.5892767	-0.2409609	0.875	79.0	1663.7600259780884
13	37353.207	0.0	37353.207	37353.207	24.0	1714.3876	25749.088	4998.389	39069.688	17515.066	336	4619.322	147749040.0	-883.89014	-73202790.0	-0.587408	0.13604495	0.25	1.0	1667.5431468486786
14	37695.84	0.0	37695.84	37695.84	24.0	1719.8071	18820.738	4164.6865	32144.107	12543.581	360	-457.9274	64843972.0	-501.91226	-5382688.0	-0.5874081	0.1006178	0.5833333	2.0	1671.2917280197144
15	38649.516	0.0	38649.516	38649.516	24.0	1745.2588	14855.44	4386.5913	32848.4	9385.714	384	-3806.2122	87087910.0	-344.4431	-18935560.0	-0.58734745	0.09845921	0.75	8.0	1675.0696439743042
16	42734.945	0.0	42734.945	42734.945	24.0	1879.8944	18330.693	5743.539	38358.04	10520.341	408	-2968.1824	122852504.0	-1137.6575	-6286744.0	-0.587409	0.1163492	0.7916667	8.0	1678.917797088623
17	37962.504	0.0	37962.504	37962.504	24.0	1724.7775	24324.197	5296.6895	39777.51	14582.447	432	3470.0244	114776950.0	-675.59937	-47949868.0	-0.58875597	0.16665004	0.41666666	2.0	1682.7070970535278
18	42517.484	0.0	42517.484	42517.484	24.0	1885.8033	17027.975	5008.83	31823.473	9839.106	456	-3851.1543	132996630.0	-1844.9048	-18210264.0	-0.58903784	-0.280349	0.8333333	79.0	1686.79980301857
19	41622.11	0.0	41622.11	41622.11	24.0	1830.5729	22696.475	4986.987	30200.99	12826.053	480	985.18646	68238350.0	-428.14087	-13253028.0	-0.6124614	0.14022829	0.625	2.0	1690.7277019023895
20	35274.273	0.0	35274.273	35274.273	24.0	1683.6357	23796.023	5115.251	32020.36	15252.981	504	4161.583	132829380.0	-487.17065	-87992960.0	-0.61302894	0.102256335	0.5833333	3.0	1694.5705959796906
21	34872.504	0.0	34872.504	34872.504	24.0	1682.2152	18493.797	5621.5117	34040.94	10802.683	528	597.79425	62108172.0	-414.77722	-12829392.0	-0.61350644	0.13060541	0.5416667	2.0	1698.415405035019
22	39099.188	0.0	39099.188	39099.188	24.0	1730.729	11206.638	4107.3027	27275.783	5995.299	552	-6721.943	138507280.0	-1856.6147	-59657450.0	-0.613495	-0.3270791	0.9583333	79.0	1702.4831330776215
23	35798.047	0.0	35798.047	35798.047	24.0	1671.1342	22840.057	4603.265	37738.19	16350.731	576	3381.636	81352580.0	-635.5581	-38282464.0	-0.63499165	0.11216408	0.5416667	3.0	1706.3794589042664
24	42882.258	0.0	42882.258	42882.258	24.0	1889.9547	12905.11	5249.295	32778.8	7467.938	600	-7043.187	189129550.0	-2104.392	-66336630.0	-0.63489825	-0.12167735	0.9583333	79.0	1711.876435995102
25	39676.66	0.0	39676.66	39676.66	24.0	1749.309	27902.822	5800.775	41048.633	18378.984	624	5319.7314	175319540.0	-1024.685	-109239200.0	-0.6690082	0.11326777	0.41666666	1.0	1715.7231159210205
26	37986.97	0.0	37986.97	37986.97	24.0	1725.5977	22262.81	6910.6714	42263.99	10370.185	648	2132.6067	115128970.0	-600.12585	-55822348.0	-0.66915333	0.11912497	0.5416667	3.0	1719.5229449272156
27	34257.418	0.0	34257.418	34257.418	24.0	1668.4489	18543.459	5473.108	27547.03	8546.583	672	751.3953	45873484.0	-119.309204	-13479844.0	-0.66951436	0.9115953	0.5833333	1.0	1723.3093359470367
28	36227.344	0.0	36227.344	36227.344	24.0	1693.7788	16325.059	4974.9336	25536.182	8648.018	696	-1493.2504	50876896.0	14.232788	-3876512.0	-0.6695948	0.11139038	0.8333333	3.0	1727.1252279281616
29	37612.39	0.0	37612.39	37612.39	24.0	1720.6045	17861.842	5108.8496	31487.463	8386.8545	720	-977.96686	58562420.0	-1097.825	-3290196.0	-0.66950345	-0.08770579	0.7916667	79.0	1731.1628131866455
30	37119.27	0.0	37119.27	37119.27	24.0	1685.9564	16542.592	5802.07	28845.69	8536.383	744	-1773.6934	68507490.0	-859.6826	-9657132.0	-0.678663	0.07576116	0.6666667	5.0	1735.026687860489
31	37076.895	0.0	37076.895	37076.895	24.0	1709.7609	19246.006	5393.881	28911.96	10141.653	768	316.27475	41198224.0	-766.7248	-3954836.0	-0.6791562	0.08059986	0.5833333	41.0	1739.0066249370575
32	37635.8	0.0	37635.8	37635.8	24.0	1703.043	16824.701	6311.8545	28196.139	4424.739	792	-1542.2422	44621584.0	-883.156	-8966652.0	-0.6744686	-0.03468727	0.625	79.0	1743.1603560447693
33	37016.816	0.0	37016.816	37016.816	24.0	1676.8243	13039.286	6348.771	26671.258	3207.6104	816	-4131.6274	67853550.0	-882.1875	-25738688.0	-0.67933494	-0.0022362173	0.625	79.0	1747.3348169326782
34	36096.73	0.0	36096.73	36096.73	24.0	1678.3387	18821.596	7496.948	36463.69	8761.255	840	728.8128	50107052.0	-596.10016	-10258880.0	-0.6743627	0.096932076	0.375	2.0	1751.2441909313202
35	39012.887	0.0	39012.887	39012.887	24.0	1757.3607	21991.744	6733.843	38568.934	12872.923	864	1621.6299	64012820.0	-267.6632	-25292340.0	-0.67425925	0.33099392	0.5833333	1.0	1755.172621011734
36	38425.58	0.0	38425.58	38425.58	24.0	1723.6312	17298.992	5922.998	27917.623	8849.332	888	-1721.3617	53880268.0	-59.38916	-7416696.0	-0.6742972	0.10152483	0.375	1.0	1758.9832348823547
37	37726.02	0.0	37726.02	37726.02	24.0	1709.2207	17998.799	6965.167	28734.697	5823.305	912	-739.27814	50196204.0	-304.6253	-7965136.0	-0.674333	0.12369803	0.625	10.0	1762.8397438526154
38	37842.523	0.0	37842.523	37842.523	24.0	1713.3276	11966.981	7017.0376	35341.34	4003.2703	936	-5367.892	115080870.0	-537.58984	-56128356.0	-0.674862	0.10116049	0.5	3.0	1766.8099918365479
39	36886.22	0.0	36886.22	36886.22	24.0	1684.0392	18857.686	7140.037	27761.445	4452.927	960	270.12112	46926050.0	-303.55594	-21588682.0	-0.6744812	0.10638475	0.41666666	4.0	1770.645255804062
40	41954.62	0.0	41954.62	41954.62	24.0	1892.6141	17435.846	6599.6553	37331.23	9443.884	984	-2927.1155	74938770.0	-246.83105	-29926480.0	-0.6744765	0.085097216	0.5416667	1.0	1774.5582909584045
41	37780.508	0.0	37780.508	37780.508	24.0	1713.0332	25693.912	12108.576	44614.65	3981.5393	1008	5108.132	164339220.0	186.74658	-133119320.0	-0.6745922	0.23993044	0.625	3.0	1778.367991924286
42	41764.86	0.0	41764.86	41764.86	24.0	1912.0018	26768.271	8759.441	47190.75	16319.491	1032	3579.7273	207686770.0	-205.04346	-105232184.0	-0.6757279	0.24131203	0.6666667	2.0	1782.3009078502655
43	38249.324	0.0	38249.324	38249.324	24.0	1781.3032	19555.51	9331.933	38355.53	7455.039	1056	239.3929	80221920.0	711.21716	-31949676.0	-0.6763305	0.8317518	0.45833334	1.0	1786.1175549030304
44	39875.684	0.0	39875.684	39875.684	24.0	1826.9424	15938.995	6490.981	28093.111	4920.391	1080	-2982.7578	34433868.0	281.86353	-22609304.0	-0.6765772	0.17026728	0.41666666	1.0	1790.0019760131836
45	38280.47	0.0	38280.47	38280.47	24.0	1741.1821	17755.35	6199.955	34337.586	7419.1436	1104	-1047.5311	35958550.0	177.51288	-19220436.0	-0.67685544	0.13569604	0.5416667	1.0	1793.8337540626526
46	37262.496	0.0	37262.496	37262.496	24.0	1712.3795	32873.402	7030.6426	48513.29	16830.557	1128	10256.187	308969380.0	-878.2383	-255305040.0	-0.67712253	0.20440285	0.5	1.0	1797.657131910324
47	37722.05	0.0	37722.05	37722.05	24.0	1710.5547	13345.75	6971.7715	26236.19	2348.0493	1152	-4052.074	58173824.0	440.3213	-32029104.0	-0.6771997	0.1741576	0.6666667	2.0	1801.4804220199585
48	36605.035	0.0	36605.035	36605.035	24.0	1714.5492	25886.12	5071.8926	38160.723	14141.354	1176	5117.9224	151082670.0	-229.11035	-82149430.0	-0.67756766	0.37847933	0.75	1.0	1806.3395318984985
49	37969.992	0.0	37969.992	37969.992	24.0	1722.273	15808.376	4876.7197	26775.348	5896.856	1200	-2732.677	71968330.0	751.2523	-15397768.0	-0.6777426	0.3393775	0.8333333	1.0	1810.1411559581757
50	40473.184	0.0	40473.184	40473.184	24.0	1829.8501	12124.067	7372.596	24665.92	1963.1461	1224	-5902.1597	72444360.0	1472.2651	-62436640.0	-0.6779997	0.24631453	0.75	1.0	1814.0200810432434
51	37263.336	0.0	37263.336	37263.336	24.0	1683.6357	21999.07	7829.6514	35677.895	8805.609	1248	2262.3076	90567480.0	1021.27563	-55430990.0	-0.6782745	0.3138797	0.7083333	1.0	1817.813611984253
52	37833.242	0.0	37833.242	37833.242	24.0	1724.6134	16718.463	8674.274	36390.188	4678.0405	1272	-1467.811	49917164.0	-224.70654	-10986336.0	-0.67849964	0.5017242	0.6666667	1.0	1821.5782189369202
53	39065.297	0.0	39065.297	39065.297	24.0	1823.434	19502.41	11387.29	39177.086	5233.1733	1296	358.2266	50505696.0	78.43759	-24882246.0	-0.67867565	0.496135	0.875	1.0	1825.384220123291
54	37358.707	0.0	37358.707	37358.707	24.0	1741.9463	24611.842	5758.9062	35915.727	14940.553	1320	4217.986	75492350.0	-129.68335	-48816310.0	-0.67879546	0.34356412	0.5833333	1.0	1829.1430168151855
55	36212.97	0.0	36212.97	36212.97	24.0	1693.4916	15220.687	5710.4478	28750.893	5669.588	1344	-2582.0625	79097800.0	1396.773	-28675340.0	-0.67886573	0.23424345	0.45833334	1.0	1832.9722740650177
56	38096.84	0.0	38096.84	38096.84	24.0	1851.641	27144.592	8174.7993	43433.844	14501.023	1368	6083.25	109292960.0	840.7661	-90589730.0	-0.67908376	4.334037	1.0	1.0	1836.8095149993896
57	35207.21	0.0	35207.21	35207.21	24.0	1697.7012	14192.319	4532.891	20933.31	5850.182	1392	-2943.537	53261056.0	1620.003	-24900368.0	-0.67928755	0.98158103	0.6666667	1.0	1840.5701370239258
58	35050.28	0.0	35050.28	35050.28	24.0	1723.3076	20136.328	7228.1104	32170.607	6023.495	1416	2011.2172	34698640.0	-10.016113	-16974302.0	-0.67935205	0.09722871	0.33333334	1.0	1844.335432767868
59	34427.37	0.0	34427.37	34427.37	24.0	1682.2152	13573.563	5511.072	24972.533	1859.8651	1440	-2992.37	49150164.0	-563.44116	-21800260.0	-0.6794201	-0.04328854	0.29166666	79.0	1848.3966000080109
60	34664.926	0.0	34664.926	34664.926	24.0	1704.2487	17473.666	10300.66	35326.574	502.30695	1464	642.93866	20984662.0	-209.95868	-8392897.0	-0.7194575	0.02570337	0.125	79.0	1852.5065038204193
61	34010.926	0.0	34010.926	34010.926	24.0	1697.8832	14588.759	6292.4478	32739.125	3000.4624	1488	-1834.1393	38914356.0	-281.2047	-5239064.0	-0.71511835	0.019488221	0.16666667	79.0	1856.6877150535583
62	35326.55	0.0	35326.55	35326.55	24.0	1838.711	18582.307	5325.323	29994.28	5574.082	1512	44.31258	93226970.0	-638.691	-33873164.0	-0.7209913	-0.0017486414	0.375	79.0	1860.8755650520325
63	34931.023	0.0	34931.023	34931.023	24.0	1871.5385	12059.594	1979.1611	18326.666	9243.537	1536	-4733.103	107327300.0	-528.41016	-25562928.0	-0.6983573	0.020805681	0.29166666	79.0	1865.155101776123
64	35311.656	0.0	35311.656	35311.656	24.0	1877.79	20766.697	3725.3235	27642.033	12087.421	1560	1538.2096	113116290.0	-681.0177	-27826112.0	-0.72616285	0.062711924	0.375	79.0	1869.340658903122
65	35092.36	0.0	35092.36	35092.36	24.0	1730.5055	18925.623	4813.6245	27370.027	9264.911	1584	669.6764	47539170.0	-315.40463	-11454192.0	-0.7404664	0.052098334	0.29166666	79.0	1873.4792230129242
66	34596.637	0.0	34596.637	34596.637	24.0	1698.1431	13563.695	3963.377	23324.467	6541.3047	1608	-3256.669	69517430.0	-253.49683	-28149068.0	-0.73082864	-0.020277143	0.16666667	79.0	1877.6209440231323
67	34177.586	0.0	34177.586	34177.586	24.0	1684.3148	16046.198	6550.524	28493.582	5886.5176	1632	-833.4627	33197302.0	-307.12177	-2389140.0	-0.7066093	-0.007940844	0.20833333	79.0	1881.7370858192444
68	34867.0	0.0	34867.0	34867.0	24.0	1718.7866	19812.482	5525.9194	32499.637	8003.746	1656	1374.3131	70274504.0	-487.8261	-18019612.0	-0.7291768	0.075208314	0.25	73.0	1885.8746089935303
69	33573.94	0.0	33573.94	33573.94	24.0	1661.5856	15268.45	4080.961	21271.717	6338.388	1680	-1427.6509	35627136.0	-441.17004	-15015566.0	-0.66701853	0.01042154	0.16666667	79.0	1890.0119888782501
70	34904.74	0.0	34904.74	34904.74	24.0	1787.4336	15560.165	8057.009	31251.537	5953.2036	1704	-1552.6232	73718470.0	-477.45996	-26294076.0	-0.6546908	0.030039662	0.25	79.0	1894.1644539833069
71	35055.42	0.0	35055.42	35055.42	24.0	1724.7775	19923.012	5829.5254	28127.467	6419.8667	1728	1556.964	38869892.0	-368.87415	-17008628.0	-0.6688487	-0.015144333	0.125	79.0	1898.3011088371277
72	34574.387	0.0	34574.387	34574.387	24.0	1720.7421	23590.385	8839.847	43285.426	6509.9443	1752	4767.594	96174080.0	-389.1255	-64978064.0	-0.62300724	0.0768359	0.20833333	49.0	1903.360300064087
73	35144.89	0.0	35144.89	35144.89	24.0	1895.6279	6819.5396	3673.645	16800.434	2596.1084	1776	-8689.598	202639570.0	-258.69824	-105416340.0	-0.6133252	0.006558731	0.083333336	79.0	1907.4917109012604
74	34764.473	0.0	34764.473	34764.473	24.0	1718.6705	17652.678	3755.7673	24382.152	11334.038	1800	-119.52335	44066656.0	-422.0925	-17354032.0	-0.6125685	-0.012710129	0.20833333	79.0	1911.6089980602264
75	34587.42	0.0	34587.42	34587.42	24.0	1730.4623	18670.385	5547.455	31474.963	9159.936	1824	592.7871	82414216.0	-432.53424	-18987276.0	-0.5936048	-0.0014171004	0.20833333	79.0	1915.719839811325
76	34554.035	0.0	34554.035	34554.035	24.0	1732.3959	14947.082	6041.7485	28149.37	4286.973	1848	-1857.1288	34579428.0	-85.07178	-6152126.0	-0.57326037	0.008082981	0.0	79.0	1919.891261100769
77	35175.613	0.0	35175.613	35175.613	24.0	1722.2982	17329.531	5246.6973	27936.832	6981.4116	1872	-502.18253	48416690.0	-514.7755	-8167904.0	-0.5722903	-0.011766498	0.20833333	79.0	1924.014060974121
78	34225.805	0.0	34225.805	34225.805	24.0	1702.6993	14371.06	5914.8584	28236.096	3723.424	1896	-2236.5452	41552380.0	-291.57202	-9315390.0	-0.5418702	-0.047459137	0.16666667	79.0	1928.1275129318237
79	34567.273	0.0	34567.273	34567.273	24.0	1870.9629	14064.87	5926.2627	24009.947	5791.82	1920	-2658.2102	54290284.0	-467.61108	-16775288.0	-0.58581597	-0.059739947	0.33333334	79.0	1932.3288371562958
80	34979.867	0.0	34979.867	34979.867	24.0	1856.3141	19513.225	7050.646	37278.973	10054.824	1944	1479.7246	46284896.0	-229.13477	-29092576.0	-0.62570864	-0.028354391	0.20833333	79.0	1936.5118398666382
81	35340.336	0.0	35340.336	35340.336	24.0	1860.3853	12149.281	3645.5474	20093.654	5943.126	1968	-4458.17	71404670.0	-789.8384	-37779620.0	-0.6093678	-0.1038417	0.5	79.0	1940.7309710979462
82	35115.3	0.0	35115.3	35115.3	24.0	1892.6141	12972.852	5088.368	25280.525	5754.0063	1992	-3671.426	63588748.0	-467.55298	-17430392.0	-0.6636679	-0.014643237	0.20833333	79.0	1944.95228099823
83	34121.52	0.0	34121.52	34121.52	24.0	1694.5884	33150.13	13744.429	53864.086	9344.359	2016	12010.496	425764900.0	-795.6924	-388151460.0	-0.6348961	0.046470597	0.16666667	79.0	1949.0892159938812
84	34314.18	0.0	34314.18	34314.18	24.0	1694.2365	15263.282	6249.382	27905.531	4278.851	2040	-1508.1757	30213008.0	-292.11926	-9489222.0	-0.5818151	-0.0041372925	0.083333336	79.0	1953.2706968784332
85	35293.027	0.0	35293.027	35293.027	24.0	1882.1074	16341.512	3867.127	24256.592	9552.499	2064	-1536.7823	58662316.0	-585.6222	-3920680.0	-0.5780877	0.027790332	0.125	79.0	1957.45365691185
86	34526.574	0.0	34526.574	34526.574	24.0	1705.1152	18004.033	5840.344	27353.035	6031.0547	2088	463.59018	30294768.0	-66.73303	-8187274.0	-0.5562263	0.038490724	0.0	79.0	1961.6336250305176
