Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	38199.344	249.48438	38448.83	37949.86	24.0	1708.1256	-0.94854593	0.4063985	-0.369319	-2.406982	48	-14889.742	428048420.0	3984.0781	-98286850.0	-0.581061	0.13423623	0.875	1.0	10.086412906646729
1	40068.016	1344.2227	41412.24	38723.793	24.0	1797.4893	2576.089	985.25775	4655.266	1457.361	96	-13743.755	382384540.0	2008.9199	-272681950.0	-0.58126146	0.14838125	0.7916667	1.0	18.915517807006836
2	41282.883	154.89453	41437.777	41127.99	24.0	1842.8268	17746.275	5031.038	32946.26	10030.87	144	-2869.3438	122222040.0	595.1321	-25372480.0	-0.5812443	0.27837107	0.6041667	1.0	26.83374309539795
3	41867.03	368.68164	42235.715	41498.35	24.0	1891.0312	17424.662	4743.3896	30873.982	11471.669	192	-3389.2463	139044750.0	469.85205	-11153168.0	-0.5811614	0.21723533	0.6041667	1.0	34.899269819259644
4	39564.203	2724.875	42289.08	36839.33	24.0	1797.5201	25478.896	10644.093	49432.508	15730.345	240	3231.5603	294166820.0	-132.44043	-173589060.0	-0.5812437	0.16788542	0.5625	1.0	52.56466507911682
5	37556.055	644.81836	38200.875	36911.24	24.0	1703.0328	18106.041	4286.111	34243.383	10598.878	288	-1102.7225	87762824.0	503.41687	-4991200.0	-0.5812791	0.03161021	0.7708333	2.0	61.44331192970276
6	36955.703	190.97852	37146.684	36764.727	24.0	1703.484	17296.484	5095.261	34087.406	7740.923	336	-1457.6276	87298960.0	-245.52246	-10412744.0	-0.58129245	0.042786226	0.375	1.0	69.58447098731995
7	38956.516	3597.041	42553.555	35359.473	24.0	1771.5137	16603.54	4571.361	31855.207	9632.049	384	-2751.6511	108430310.0	-47.74463	-11283464.0	-0.5813058	0.034166787	0.45833334	1.0	78.57686400413513
8	39724.938	2222.1914	41947.13	37502.746	24.0	1808.7852	17819.08	6853.9253	36675.25	7432.3716	432	-2139.8252	114536220.0	-91.70239	-14361184.0	-0.5813082	0.04602014	0.625	3.0	86.85847187042236
9	39016.92	2345.2988	41362.223	36671.625	24.0	1764.9633	18925.947	4371.4526	32531.363	11517.684	480	-957.2364	85002050.0	-259.23907	-13341816.0	-0.58113414	0.042460393	0.22916667	1.0	96.92327189445496
10	41062.36	55.078125	41117.438	41007.28	24.0	1833.462	21656.004	4136.5483	32765.904	13402.271	528	380.38364	62810476.0	-144.26888	-25640256.0	-0.58108395	0.017234331	0.1875	1.0	105.37853598594666
11	41389.055	504.5664	41893.62	40884.49	24.0	1848.249	14222.086	5795.9683	29168.572	5994.1196	576	-5244.334	103823140.0	-1248.543	-41761580.0	-0.5809886	-0.14034466	0.6875	79.0	113.89778304100037
12	38984.992	863.6953	39848.688	38121.297	24.0	1758.2583	20463.37	7437.946	41282.54	9584.781	624	270.79236	110469270.0	-443.89948	-28954528.0	-0.5941714	0.04541206	0.41666666	1.0	4828.427593946457
13	37723.9	353.79102	38077.688	37370.105	24.0	1707.3026	21581.324	5641.621	33289.74	10580.414	672	1636.9678	69617050.0	-90.83594	-19953684.0	-0.59432524	0.07537586	0.3125	1.0	4839.39923286438
14	39585.246	2321.129	41906.375	37264.117	24.0	1793.9647	17741.87	6598.666	33203.133	3774.9966	720	-2054.4585	105776330.0	-731.6626	-11775624.0	-0.5944465	0.073164865	0.6666667	7.0	4863.794241905212
15	41734.445	105.98242	41840.426	41628.46	24.0	1890.3844	17977.545	4523.2954	33331.35	10969.369	768	-2744.6357	96031530.0	-88.33008	-9984320.0	-0.5948582	0.038150925	0.125	1.0	4887.621560096741
16	39546.54	2755.463	42302.004	36791.08	24.0	1786.2262	19265.4	6739.117	47558.875	10010.797	816	-881.771	124475690.0	-279.6958	-31505840.0	-0.5948189	0.07531432	0.1875	1.0	4906.931669950485
17	35707.336	182.91992	35890.254	35524.414	24.0	1704.7051	21684.242	7582.177	43768.152	9531.012	864	2744.1543	79359750.0	-449.0813	-34342092.0	-0.59486496	0.086762935	0.35416666	1.0	8080.143705129623
18	41035.734	151.4043	41187.137	40884.33	24.0	1883.4541	12954.499	4926.171	22964.402	6144.8267	912	-6327.0444	143464850.0	-1631.1143	-59949976.0	-0.5948783	-0.17383109	0.7708333	79.0	8090.441802978516
19	40997.453	600.3047	41597.758	40397.15	24.0	1865.8251	18061.773	5476.4287	29349.62	8038.2305	960	-2469.5354	115181430.0	-595.8779	-12232352.0	-0.6070927	0.023849985	0.35416666	5.0	8110.905112981796
20	38323.47	1224.125	39547.594	37099.344	24.0	1777.5931	27319.979	6274.624	43438.355	15819.297	1008	5485.084	155694580.0	-674.5547	-108950000.0	-0.60713065	0.13407008	0.375	1.0	8130.0503759384155
21	37770.734	1437.2461	39207.98	36333.49	24.0	1790.0083	18689.303	5977.182	30691.389	7404.129	1056	-705.49164	89222840.0	-581.7741	-13919400.0	-0.60717297	0.031068787	0.625	1.0	8147.143859863281
22	36504.695	2563.1152	39067.812	33941.582	24.0	1762.7758	18524.508	7363.639	33840.14	4368.5454	1104	44.409	52515116.0	22.772388	-17620124.0	-0.6071929	0.20118648	0.47916666	1.0	8165.620741844177
