Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	37089.707	0.0	37089.707	37089.707	24.0	1713.5365	-0.27813634	0.07728407	-0.15971334	-0.40675294	24	-14543.191	407890300.0	-2888.6094	-43185504.0	-0.5810616	-0.5329434	0.9583333	79.0	7.344176769256592
1	39025.617	0.0	39025.617	39025.617	24.0	1848.2406	965.7911	150.57086	1168.9454	660.2659	48	-14620.183	423608860.0	-2924.038	-290732860.0	-0.59504354	-0.45305786	1.0	79.0	12.917943000793457
2	37694.277	0.0	37694.277	37694.277	24.0	1712.9974	27437.51	10700.095	44717.844	12900.881	72	5102.6865	328974100.0	-2604.9502	-182685200.0	-0.6227721	0.2007413	0.7083333	2.0	17.312556982040405
3	37311.867	0.0	37311.867	37311.867	24.0	1720.7421	15070.587	5615.251	23946.166	7464.0107	96	-3639.3464	138291170.0	-780.0759	-11823048.0	-0.62251526	0.09085735	0.6666667	3.0	22.161081075668335
4	38538.41	0.0	38538.41	38538.41	24.0	1902.1827	9095.075	832.4006	10588.133	7834.079	120	-8483.008	201165440.0	-1315.5361	-90272904.0	-0.622754	0.09015113	0.8333333	5.0	27.104286909103394
5	38458.63	0.0	38458.63	38458.63	24.0	1885.8033	20498.744	830.7361	22283.225	18783.096	144	159.48592	108401370.0	-955.38306	-30317712.0	-0.62362945	0.12855603	0.375	2.0	32.06030488014221
6	36517.547	0.0	36517.547	36517.547	24.0	1690.1982	32074.19	10264.916	47407.156	19395.963	168	9213.899	404447600.0	-761.0869	-310275330.0	-0.6243697	0.4321405	0.7916667	1.0	36.31814765930176
7	37034.156	0.0	37034.156	37034.156	24.0	1716.1198	15972.956	5359.5034	23005.018	7077.5107	192	-2574.4824	90170230.0	-205.84082	-22850184.0	-0.6249293	0.106363565	0.8333333	4.0	40.6595778465271
8	36761.176	0.0	36761.176	36761.176	24.0	1705.1152	15146.261	4374.599	21295.514	6139.284	216	-2972.6716	81346696.0	-684.855	-36867496.0	-0.6262426	0.19168556	0.75	4.0	45.10702109336853
9	39569.15	0.0	39569.15	39569.15	24.0	1839.0732	16976.875	6759.1387	26001.861	5283.61	240	-2180.2117	24388000.0	-627.2085	-15463417.0	-0.6275759	-0.20056522	0.9166667	79.0	49.71818685531616
10	37104.98	0.0	37104.98	37104.98	24.0	1730.358	19637.457	7312.1104	31704.098	4166.012	264	783.8636	21613442.0	-393.05557	-11690744.0	-0.6242808	0.15226255	0.45833334	2.0	53.99443197250366
11	39727.098	0.0	39727.098	39727.098	24.0	1879.8944	12802.513	6609.587	23942.443	813.0954	288	-5271.886	56069004.0	-986.9463	-52625130.0	-0.6243581	-0.2016685	0.75	79.0	58.53617572784424
12	39887.242	0.0	39887.242	39887.242	24.0	1836.1144	30141.13	15213.69	48170.684	3160.777	312	8453.174	169886100.0	-1071.3667	-157877890.0	-0.62400335	0.11725769	0.5416667	2.0	62.86775803565979
13	34722.504	0.0	34722.504	34722.504	24.0	1695.9141	18375.318	8370.68	31683.2	2608.1562	336	1028.3661	15367436.0	-194.60675	-5944219.0	-0.62350255	0.10755206	0.45833334	2.0	67.09977984428406
