Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	37565.086	773.5923	39174.4	36338.277	24.0	1752.0681	-0.32211807	0.09222271	-0.15472876	-0.5633535	360	8.97381e-08	418757440.0	0.01583549	-50112640.0	-0.5810618	0.104784004	0.6166667	1.0	64.70421075820923
1	37479.43	1024.0071	38966.62	35925.902	24.0	1756.042	1636.8427	707.03503	3269.9812	736.54767	720	1.8543668e-08	365421630.0	-0.051496714	-204033230.0	-0.58166146	0.07504361	0.4861111	7.0	126.86472487449646
2	37672.99	1002.70844	39185.83	35961.156	24.0	1759.108	14512.687	5899.1934	27290.805	6644.7964	1080	-1.0265245e-08	162948180.0	-0.060892813	-21152096.0	-0.57875216	0.07944064	0.36666667	9.0	190.71841478347778
3	38159.645	1202.2806	39573.645	35391.305	24.0	1800.167	13841.525	5138.757	28426.594	8148.516	1440	2.7815501e-08	154248110.0	-0.05729182	-38654624.0	-0.57699674	0.080176875	0.46944445	10.0	251.60944771766663
4	38041.277	959.30237	39491.812	36445.887	24.0	1798.533	16832.1	4524.1196	27145.135	8091.673	1800	-4.205439e-08	105896040.0	-0.052252863	-48255830.0	-0.5784115	0.09691942	0.39722222	8.0	311.4055485725403
5	36697.73	1156.4689	39252.29	34310.434	24.0	1728.7969	18632.863	4797.4946	30489.395	7145.7285	2160	-3.8080746e-08	57876144.0	-0.018842837	-34383970.0	-0.5799822	0.09340929	0.47777778	3.0	370.0731739997864
6	36686.79	1221.0465	38964.59	34235.586	24.0	1734.7969	17347.447	7437.14	34563.56	2728.6445	2520	-3.576279e-08	22012494.0	-0.074188106	-6179622.0	-0.58050877	0.07839845	0.475	19.0	426.67272877693176
7	38221.617	1268.3077	39783.156	35570.695	24.0	1793.635	16304.713	9633.42	36757.508	435.11407	2880	3.4107103e-08	20072894.0	-0.10154951	-5316819.0	-0.57919544	0.08298306	0.49444443	54.0	489.1225757598877
8	37849.812	1352.2418	39946.59	35829.766	24.0	1774.9208	17774.95	9236.28	37285.668	1481.546	3240	2.6159816e-08	26579492.0	0.01052068	-6960064.0	-0.58799165	0.08579394	0.51944447	1.0	547.9035408496857
9	37739.734	1319.028	39485.87	35569.83	24.0	1762.4996	19488.354	9987.454	40245.14	1333.5012	3600	-3.075434e-08	19462786.0	-0.016933832	-6611640.0	-0.58802736	0.0877324	0.49722221	4.0	605.9204347133636
10	37981.605	1332.2064	40007.945	35859.246	24.0	1782.0366	16345.256	8991.933	37172.727	671.1815	3960	-5.323026e-08	19261392.0	-0.10062817	-4556517.0	-0.5869027	0.076361775	0.53055555	34.0	670.128568649292
11	37484.945	1407.4135	39923.74	35385.305	24.0	1776.5264	18453.652	9668.425	40143.117	720.0429	4320	-1.6225709e-08	12846859.0	-0.061097432	-1578375.0	-0.5851203	0.08091328	0.4888889	8.0	731.6579337120056
12	37251.13	1611.4741	39348.266	34726.656	24.0	1758.5215	18669.398	9489.652	40984.703	1419.7128	4680	-7.2643163e-09	14532873.0	-0.05369989	-1855359.0	-0.58573055	0.07578137	0.46944445	10.0	795.9687578678131
