Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	37881.39	778.03534	39068.68	35822.48	24.0	1785.069	-0.35793152	0.10713526	-0.15044527	-0.6397046	360	-8.145968e-08	426822270.0	-0.0023467857	-76102660.0	-0.5810618	0.09967574	0.59444445	1.0	68.56280612945557
1	37972.848	840.81525	38742.062	35768.176	24.0	1786.5896	2500.7366	1028.4827	4871.533	982.45435	720	-1.4901161e-08	349096160.0	0.025768522	-198712320.0	-0.58166146	0.12441515	0.5972222	1.0	139.39585494995117
2	37980.797	738.5209	38797.914	36228.36	24.0	1821.8947	13373.366	5190.36	28181.338	7131.709	1080	3.8743018e-08	157298060.0	-0.073122256	-38554240.0	-0.58128744	0.07525124	0.4611111	8.0	199.47450494766235
3	38307.414	754.8306	39392.85	36224.824	24.0	1832.7952	16921.258	5759.3643	32225.818	8592.189	1440	1.05963815e-08	122298740.0	-0.08941656	-40607610.0	-0.5812808	0.07580868	0.43611112	12.0	259.86450386047363
4	37847.934	621.341	39038.66	36938.4	24.0	1802.0975	17781.322	5292.0547	32148.12	7299.3643	1800	-5.165736e-08	85533590.0	-0.08043477	-42856200.0	-0.5863454	0.080601156	0.51111114	9.0	326.8699560165405
5	38224.816	522.83875	39292.21	37296.668	24.0	1827.1274	15741.194	6359.3555	31802.08	3209.044	2160	4.503462e-08	65494084.0	-0.04395684	-42066880.0	-0.5880568	0.07747433	0.4027778	4.0	2679.9829030036926
6	38006.46	675.6232	38911.586	36900.363	24.0	1814.9427	20370.238	11343.521	51218.586	286.23843	2520	-4.329615e-08	73558660.0	-0.066675775	-44658864.0	-0.588672	0.080169074	0.36944443	9.0	4679.589349985123
7	38079.54	851.0578	39486.945	36215.832	24.0	1789.7446	19396.715	11558.249	61681.543	1433.7953	2880	1.6287798e-08	79132640.0	-0.067398906	-37822164.0	-0.5879964	0.08056915	0.4722222	10.0	12352.626055955887
8	38544.434	796.0534	40118.25	37087.953	24.0	1811.5951	16059.121	8235.687	36450.145	1382.6641	3240	-3.543165e-08	40440056.0	-0.08068826	-23818780.0	-0.58781266	0.07924094	0.5472222	8.0	32042.883553028107
9	38195.914	768.42175	40056.336	37204.027	24.0	1816.1068	19859.607	11959.125	58204.324	1755.6034	3600	-1.1920929e-08	74733600.0	-0.07227579	-48284820.0	-0.5857555	0.07557379	0.51111114	7.0	32529.76287508011
10	37926.46	1000.6019	40492.2	36213.95	24.0	1780.4163	16570.652	8239.719	40376.508	2011.4595	3960	2.6490954e-09	29316222.0	-0.0374584	-16386559.0	-0.58323133	0.0797853	0.525	3.0	33949.45112800598
11	37744.336	668.17957	39184.77	36566.55	24.0	1807.9025	18138.037	10175.624	41777.316	418.49802	4320	8.853773e-08	14137995.0	-0.07047229	-5881640.0	-0.5823046	0.07812326	0.4611111	9.0	34724.004543066025
12	38217.668	1065.0675	41502.76	36663.707	24.0	1799.41	17660.979	9723.601	45693.336	1271.5032	4680	2.367629e-08	27799466.0	-0.06287978	-17059084.0	-0.58011883	0.076405406	0.36944443	5.0	34862.86589503288
13	37934.434	556.3921	39092.754	37133.223	24.0	1795.8274	22527.21	12116.294	53103.875	910.09033	5040	5.7286687e-08	58556364.0	-0.079739675	-41658148.0	-0.5794709	0.08195988	0.5638889	9.0	35004.27576518059
14	37929.043	1262.0665	41834.676	36012.44	24.0	1778.9288	15823.547	8764.916	39595.875	1266.091	5400	-5.8611235e-08	21104278.0	-0.07669938	-12353958.0	-0.57720673	0.08094518	0.5694444	8.0	35145.27670407295
15	37426.19	712.3922	38892.78	36260.734	24.0	1778.6229	19408.166	12426.865	58040.605	202.71071	5760	-8.477105e-08	52406930.0	-0.09214577	-30226174.0	-0.5759612	0.08301301	0.55277777	12.0	35287.695564985275
16	37955.387	681.88153	39359.797	36518.39	24.0	1821.2977	15245.217	8123.0635	40213.93	1704.012	6120	4.2385526e-08	30479332.0	-0.051157556	-19349532.0	-0.57388806	0.08104846	0.45555556	4.0	35431.988216876984
17	38043.56	736.38745	39605.562	36646.664	24.0	1835.1398	19321.447	10814.626	53208.52	833.1644	6480	2.9802323e-09	22677038.0	-0.09064934	-14768468.0	-0.57371914	0.08152288	0.6	11.0	35575.931101083755
18	37943.336	795.8583	40090.85	36452.02	24.0	1812.3108	17608.66	9867.5	39171.53	1048.0848	6840	-1.4570024e-08	17427532.0	-0.09346027	-8816771.0	-0.5755041	0.08034899	0.5222222	13.0	36108.738095998764
19	37830.867	871.94604	39274.5	36232.92	24.0	1815.7031	19902.857	11292.972	60109.688	1372.6897	7200	-6.126033e-09	49066228.0	-0.06525297	-36527492.0	-0.5759509	0.084793724	0.55277777	5.0	36251.85802721977
20	38279.37	931.4085	40533.027	36225.973	24.0	1816.8872	18144.982	10832.639	52241.527	1407.6208	7560	3.2782555e-08	39756452.0	-0.02817702	-17166856.0	-0.57524735	0.09362999	0.46388888	3.0	36920.83465003967
21	37845.74	766.2867	39823.47	36391.047	24.0	1787.5383	17381.156	9491.526	43626.223	1856.9802	7920	-1.3576614e-08	26733472.0	-0.030659186	-14183393.0	-0.5746171	0.07768192	0.46388888	2.0	37798.690907001495
22	37406.812	668.82477	38504.426	36144.78	24.0	1755.6678	19569.928	10296.47	48503.938	2699.5457	8280	3.3113693e-08	20782228.0	-0.06565868	-11974389.0	-0.57447946	0.08357705	0.49444443	7.0	38291.005427122116
23	38031.895	906.4942	39624.867	36369.547	24.0	1818.5571	16422.54	10447.839	53259.17	1003.67236	8640	1.6556846e-10	37025836.0	-0.047252953	-21395892.0	-0.5731857	0.081078246	0.51666665	3.0	39317.10664796829
24	37643.75	1039.9503	39534.5	35958.5	24.0	1769.789	19954.107	9700.246	58076.652	2870.8118	9000	3.5597218e-08	27061276.0	-0.07244438	-16425934.0	-0.5729186	0.07715119	0.5361111	8.0	39969.314162015915
25	37987.797	1175.7157	40037.758	36494.08	24.0	1810.3483	17774.291	10633.655	44204.656	548.056	9360	-4.8884086e-08	31665558.0	-0.076568104	-19418876.0	-0.57482797	0.1043397	0.55277777	8.0	40427.22119688988
26	37942.45	967.8239	39772.875	36183.246	24.0	1767.72	19501.607	10289.37	56280.895	2668.3037	9720	-2.6118425e-08	32074100.0	-0.074063174	-24140844.0	-0.5770875	0.07875181	0.5138889	8.0	41883.366336107254
27	38385.41	1013.22485	40067.68	36505.47	24.0	1820.7664	18302.42	11412.339	49173.62	835.53503	10080	4.8263207e-08	39992756.0	-0.057009384	-29349856.0	-0.57925314	0.083518125	0.45	5.0	42621.9926609993
28	38233.6	1019.6235	39966.883	36418.63	24.0	1779.7948	19545.402	9506.971	43849.184	2851.8267	10440	-2.9802323e-09	19238708.0	-0.05435667	-13304749.0	-0.5795229	0.07666193	0.38333333	5.0	43240.14567399025
29	38174.188	935.71436	39710.8	36973.715	24.0	1778.8215	17229.65	10197.182	48421.01	1364.8406	10800	1.291434e-08	19840096.0	-0.039401088	-13078570.0	-0.5788125	0.07972224	0.49444443	3.0	44146.66747188568
30	38109.332	1126.1025	40625.832	36743.48	24.0	1782.3829	20508.527	10713.524	50573.953	2031.9939	11160	-3.3610398e-08	35727920.0	-0.07039483	-24924216.0	-0.57840204	0.083204344	0.5361111	10.0	44900.68881201744
31	38395.113	1239.7849	40318.895	36235.043	24.0	1797.403	15631.898	9347.766	45328.094	771.81976	11520	8.112854e-09	23692250.0	-0.058987033	-14524433.0	-0.5777908	0.088256516	0.49444443	6.0	45575.96139502525
32	38110.688	1084.5347	40468.562	36666.742	24.0	1787.144	18560.328	9965.765	43587.906	1356.0991	11880	-3.4769375e-08	14253818.0	-0.070153125	-9663370.0	-0.577326	0.080902345	0.51111114	5.0	46267.25453090668
33	38958.46	1047.7549	40694.883	36813.594	24.0	1817.7552	18623.047	10709.999	51277.645	1258.1769	12240	1.3245477e-09	24719524.0	-0.05616674	-12503261.0	-0.5776688	0.07593543	0.41666666	6.0	62416.683041095734
34	38576.945	1215.024	40374.516	36636.555	24.0	1785.7073	18110.072	9578.069	42236.004	1503.8171	12600	-2.582868e-08	20950104.0	-0.036025118	-10254313.0	-0.578356	0.08276365	0.45555556	4.0	62553.114965200424
35	38247.223	1128.7743	40629.793	35920.387	24.0	1790.4738	18036.42	9026.684	38433.066	2046.5139	12960	-6.2916015e-09	10974366.0	-0.06203755	-4825414.5	-0.5782099	0.081182	0.5361111	5.0	62691.61336898804
36	38488.43	1140.5918	40341.21	36464.08	24.0	1807.5197	18174.014	10604.496	42535.418	1036.2053	13320	3.3113692e-10	21213122.0	-0.034995954	-14174018.0	-0.57809365	0.078904085	0.42222223	3.0	62832.75630092621
37	37941.723	796.9884	38947.99	36196.18	24.0	1752.7853	20460.377	10227.794	56114.137	1782.7948	13680	3.3941534e-09	21669394.0	-0.073044166	-15811586.0	-0.5782058	0.07632946	0.54444444	9.0	62972.91413593292
38	38581.992	1135.7928	40969.44	37035.04	24.0	1794.1621	17194.062	9415.339	37244.67	1324.923	14040	1.4238887e-08	18346672.0	-0.06849992	-9620879.0	-0.5790623	0.09250207	0.51666665	8.0	63118.47334194183
39	38556.934	1583.6958	41148.637	35661.848	24.0	1830.1913	18183.291	9977.426	39922.344	1056.1025	14400	1.0099676e-08	14496245.0	-0.046895362	-9401344.0	-0.5816843	0.08940523	0.43055555	5.0	63262.13182806969
40	38788.566	1253.7646	41734.984	36594.32	24.0	1789.947	22102.957	11825.771	61542.04	2914.0796	14760	1.0898544e-07	50266720.0	-0.054794054	-43375400.0	-0.5826639	0.08936751	0.4722222	5.0	63418.390453100204
41	39208.613	1297.0461	41809.035	37059.78	24.0	1813.7715	18741.367	10648.391	46836.473	952.55566	15120	-2.0696056e-08	23770528.0	-0.061905913	-16676787.0	-0.58321387	0.08233751	0.44166666	5.0	71986.56821703911
42	39385.098	1259.273	41240.504	37234.656	24.0	1817.0717	19902.867	10907.635	49650.207	1781.5356	15480	-6.837978e-08	25487156.0	-0.04916143	-21541246.0	-0.5824969	0.084968396	0.5083333	5.0	72043.88797807693
43	39385.99	1215.8127	41284.887	37136.31	24.0	1829.8583	17881.486	10478.699	40927.29	1779.45	15840	-1.9868216e-09	13532250.0	-0.022291891	-7207529.0	-0.5831222	0.09348207	0.53333336	2.0	72110.68945121765
44	38698.812	1317.9999	41749.06	36872.363	24.0	1768.7423	21630.791	10280.7295	47483.9	2780.698	16200	3.5597218e-08	21951186.0	-0.10535463	-18904444.0	-0.5835767	0.07808265	0.5833333	10.0	72175.0781159401
