Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	34371.96	4784.731	39573.074	26493.023	24.0	1776.8685	-0.9098462	0.41724896	-0.2009776	-2.1999786	360	7.3512396e-08	351234980.0	0.1132742	-151840340.0	-0.5810618	0.87623495	0.89166665	1.0	65.67086601257324
1	33594.836	5919.696	40187.656	22251.25	24.0	1722.7524	6522.9805	2662.6982	14217.352	2245.0347	720	2.7815501e-08	185108510.0	0.062486585	-77298830.0	-0.58086133	0.3283239	0.7722222	1.0	7309.673175811768
2	32605.287	5731.078	39780.234	23382.25	24.0	1693.215	14166.618	5370.75	30071.428	6143.134	1080	7.0201025e-08	108994130.0	0.026696509	-35520330.0	-0.58064765	0.16796425	0.5861111	1.0	14627.89949798584
3	33238.89	5311.679	39044.18	22709.145	24.0	1704.1307	14726.056	6393.5903	28331.238	4230.2324	1440	-4.834599e-08	116999096.0	-0.0155575555	-19965016.0	-0.58057046	0.2093064	0.5888889	1.0	14756.000448226929
4	35278.18	4308.7295	39456.02	23664.004	24.0	1796.0337	13908.103	4937.7104	24737.371	4546.6255	1800	5.4637592e-08	87341736.0	0.056259524	-33666624.0	-0.580581	0.1989441	0.6944444	1.0	32923.88909816742
5	34992.01	4702.9795	40010.215	24500.195	24.0	1759.9441	15452.247	9611.586	50484.95	3307.4758	2160	1.3245477e-08	131655810.0	0.042220842	-79300264.0	-0.58057195	0.2377935	0.70555556	1.0	33734.908334970474
6	32802.137	6767.318	39031.754	21564.17	24.0	1710.1246	19895.783	10568.715	53697.133	2230.0552	2520	3.5597218e-08	122827040.0	0.03239657	-87679420.0	-0.580832	0.09807424	0.5833333	1.0	34238.977329969406
7	33901.145	5589.6157	39969.96	20136.506	24.0	1727.4674	12618.06	7368.3887	42130.58	1366.5278	2880	-4.602803e-08	89581380.0	0.0070608403	-60659944.0	-0.58100104	0.10110621	0.55	1.0	34771.3467900753
8	34446.88	5070.141	39860.63	24477.049	24.0	1707.3087	19362.166	8671.485	44873.652	1945.6075	3240	-7.08633e-08	78173000.0	-0.03921074	-46773010.0	-0.5811847	0.081714384	0.4	3.0	35443.31824183464
9	34550.55	6097.645	39588.188	17964.809	24.0	1745.1755	18776.592	14772.381	73490.055	618.24585	3600	4.3710074e-08	190352580.0	-0.05264524	-144298430.0	-0.58121777	0.08123865	0.475	3.0	35569.02630400658
10	35113.41	5261.8364	39939.69	24846.955	24.0	1772.6652	14153.941	7602.376	41038.77	1106.5807	3960	1.5894573e-08	64605950.0	-0.05218526	-29314628.0	-0.5807521	0.086307004	0.43333334	4.0	35695.36380815506
11	34132.414	4864.6084	40238.062	24493.59	24.0	1771.2538	21027.285	11570.6455	57889.934	1060.9811	4320	3.1623575e-08	100587190.0	-0.07835876	-78632020.0	-0.58029467	0.09972048	0.4611111	9.0	35821.22627687454
12	34354.832	6185.428	41249.34	20028.137	24.0	1747.9473	12931.58	7266.1016	34281.69	799.49524	4680	5.1326223e-09	68214560.0	-0.0558483	-40574960.0	-0.58004975	0.083706215	0.41111112	3.0	35947.544852018356
13	34771.96	3754.427	39656.312	27007.553	24.0	1718.3337	21463.139	19584.988	121954.58	706.96484	5040	-1.5894573e-08	354651840.0	-0.034762368	-295386880.0	-0.58019084	0.077697776	0.50555557	3.0	36073.52156615257
14	36376.016	4288.9976	40845.95	25250.775	24.0	1826.9368	16763.58	9483.576	50443.5	1811.0469	5400	5.165736e-08	92660690.0	-0.04697746	-61613776.0	-0.58015007	0.08200332	0.49444443	4.0	36222.76302409172
15	35838.85	5153.3037	40618.926	19483.158	24.0	1763.8003	15650.511	8808.325	37169.21	744.88513	5760	1.07619496e-08	83963304.0	-0.05977194	-47252080.0	-0.5806302	0.08718982	0.325	3.0	37040.81556200981
16	33321.74	5358.406	39349.742	23361.143	24.0	1691.4152	14117.039	7745.1064	43704.55	729.90546	6120	1.7550256e-08	56518780.0	-0.037839092	-30319612.0	-0.58099467	0.07796086	0.3861111	3.0	37708.04323220253
17	35226.05	3344.4053	40920.465	26225.809	24.0	1759.2606	22328.232	15108.381	77460.33	65.41698	6480	2.1109978e-08	165320370.0	-0.040618703	-146223550.0	-0.5813518	0.091711655	0.41111112	3.0	38516.90214896202
18	35711.152	4028.7932	40375.566	27126.104	24.0	1778.2709	16018.8955	9249.962	38488.312	37.875366	6840	2.9305617e-08	69031360.0	-0.030249875	-48276630.0	-0.581929	0.07557242	0.29444444	2.0	39643.91532206535
19	33286.383	4503.2485	39305.27	20970.691	24.0	1706.4304	19427.615	12140.015	56574.047	784.3167	7200	2.798107e-08	94329750.0	-0.028212903	-76378550.0	-0.5820796	0.10812526	0.32777777	2.0	40348.266624212265
20	33275.832	5820.3447	41795.3	20255.795	24.0	1747.6107	19975.969	12344.151	60703.582	726.8684	7560	-2.4504132e-08	112590800.0	-0.041191097	-87239620.0	-0.5820946	0.07604308	0.4611111	6.0	41243.85376691818
21	34236.473	5745.6763	39555.055	23484.879	24.0	1740.8397	13798.214	8334.224	36243.66	197.07657	7920	3.8080747e-09	56470540.0	-0.044707853	-37076504.0	-0.581528	0.11040953	0.3638889	2.0	42061.9973089695
22	33963.074	4858.479	38526.586	22578.365	24.0	1727.3828	19019.295	11211.502	58137.664	1109.7451	8280	4.2965016e-08	60250390.0	-0.035034254	-39485890.0	-0.58119446	0.08929154	0.50277776	3.0	42939.0981490612
23	34137.195	5809.2153	41326.617	23897.518	24.0	1735.0563	12895.256	9842.941	57762.676	623.33075	8640	-1.3576614e-08	71117830.0	-0.022599071	-50826044.0	-0.5804839	0.0893903	0.31388888	2.0	44004.46821117401
24	32905.277	5250.299	39882.92	24878.596	24.0	1684.9203	16157.583	8321.43	44918.438	914.3113	9000	2.1751557e-08	36858964.0	-0.03218974	-12019956.0	-0.5798543	0.08220833	0.275	4.0	44372.85385298729
25	35959.875	4089.321	41769.84	24614.312	24.0	1821.275	22334.902	12498.514	52870.44	1681.643	9360	1.6308492e-08	87726184.0	-0.03818204	-78113410.0	-0.5789631	0.08478351	0.51111114	4.0	45496.199566841125
26	33317.8	4966.805	40569.566	26540.473	24.0	1708.32	13640.807	7539.9854	44050.95	1543.4052	9720	1.291434e-08	29674038.0	-0.032311473	-17627184.0	-0.5783887	0.077677794	0.42222223	4.0	46421.683916807175
27	32597.879	4928.9604	38554.25	20863.436	24.0	1680.1234	18392.791	10516.085	53530.934	1273.5981	10080	-4.8402903e-08	66000320.0	-0.045725577	-48086732.0	-0.5775588	0.08821455	0.46388888	6.0	47681.43166613579
28	32828.816	6139.288	40052.496	22030.559	24.0	1675.9948	14769.01	9410.724	48571.266	864.8797	10440	9.1807706e-08	46313010.0	-0.04162647	-19854034.0	-0.5762472	0.09022808	0.43055555	4.0	61989.749750852585
29	33144.465	5258.6484	39628.91	25006.133	24.0	1697.0464	15528.787	8584.397	47821.695	2466.9412	10800	-2.0447704e-08	33564970.0	-0.03205112	-22253140.0	-0.57555765	0.0757214	0.5	2.0	62114.670743227005
30	33890.71	5086.9634	39612.07	23781.348	24.0	1749.1139	18694.545	11541.475	55219.566	1222.6357	11160	-3.642506e-09	66442170.0	-0.02439553	-52660956.0	-0.5753594	0.09101922	0.525	2.0	62240.266683101654
31	35181.316	4131.8135	40616.684	28518.54	24.0	1761.0625	15770.497	9468.782	52609.918	129.77861	11520	5.0001674e-08	57448470.0	-0.040514518	-36071356.0	-0.5752303	0.08397047	0.3861111	6.0	62369.649122953415
32	32345.932	5236.614	39480.9	22534.479	24.0	1684.4653	14949.634	8033.5137	35364.383	2167.513	11880	1.0348028e-08	20905086.0	-0.036741517	-10406091.0	-0.5745999	0.09112363	0.43611112	4.0	62495.18166804314
33	34365.887	5352.534	40010.137	22435.111	24.0	1751.4469	19169.836	12030.921	56436.055	584.45795	12240	2.8726127e-08	79784080.0	-0.04402924	-61035350.0	-0.57471883	0.121902786	0.42222223	3.0	62621.54124498367
34	32738.389	5908.5864	39590.66	23820.367	24.0	1701.8286	15574.922	8492.754	46303.93	3021.9924	12600	-3.543165e-08	24423682.0	-0.053548902	-16594441.0	-0.5753898	0.079838194	0.44444445	6.0	62747.74494409561
35	36258.266	4105.086	40293.637	25050.734	24.0	1785.1233	16361.6	7858.1606	37089.297	2145.8372	12960	3.957086e-08	47650228.0	-0.052491006	-31617692.0	-0.57581383	0.101803675	0.4	4.0	62874.93586206436
