Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	OPF	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	37305.723	0.0	37305.723	37305.723	24.0	1730.4623	-0.34556064	0.08944971	-0.17201148	-0.49324316	24	-14653.81	414273440.0	-2930.7627	-43121216.0	-0.5810616	-0.49940994	1.0	79.0	6.47586989402771
1	37288.11	0.0	37288.11	37288.11	24.0	1734.234	1376.2231	538.42145	2114.1108	645.3908	48	-13639.638	369094940.0	-2726.6865	-222472670.0	-0.59233385	-0.6866097	0.9166667	79.0	10.903289794921875
2	38038.477	0.0	38038.477	38038.477	24.0	1740.6688	15675.508	6434.2485	24674.844	7524.4067	72	-3467.6594	160398830.0	-1408.5256	-18952000.0	-0.6312697	0.15270333	0.7916667	4.0	15.211967945098877
3	38323.57	0.0	38323.57	38323.57	24.0	1877.79	10001.685	431.8313	10780.681	9148.487	96	-7609.725	171050610.0	-1944.0513	-94616584.0	-0.6316544	-0.04465969	1.0	79.0	19.719457626342773
4	37620.176	0.0	37620.176	37620.176	24.0	1731.3691	29458.49	10952.428	46180.504	16138.803	120	6837.4805	330395140.0	-1916.0938	-226662530.0	-0.6713876	0.1572087	0.375	1.0	23.93655776977539
5	38755.957	0.0	38755.957	38755.957	24.0	1854.903	12927.761	3391.4778	17893.002	5113.6904	144	-5246.8716	92621016.0	-1275.2925	-58770908.0	-0.6714605	-0.26999015	0.9583333	79.0	28.55444574356079
6	36939.133	0.0	36939.133	36939.133	24.0	1713.5371	24541.234	8083.005	36335.188	10838.844	168	3938.8513	146590600.0	-767.3015	-108784980.0	-0.6921442	0.37545165	0.5833333	1.0	32.956400871276855
7	37920.402	0.0	37920.402	37920.402	24.0	1740.6688	14359.022	4614.9243	19036.822	2958.0752	192	-3745.507	59323836.0	-898.5447	-39777560.0	-0.6923023	0.09383795	0.8333333	9.0	37.16530776023865
8	39418.49	0.0	39418.49	39418.49	24.0	1833.1738	22821.467	10929.22	36055.023	2911.0432	216	2816.6907	28681976.0	-418.88257	-20783564.0	-0.69256866	0.18620665	0.625	2.0	41.31274080276489
9	36538.355	0.0	36538.355	36538.355	24.0	1705.8887	15788.578	7453.2046	25344.447	440.75598	240	-1711.9053	14152061.0	-283.93054	-7775252.5	-0.69247234	0.07550872	0.875	6.0	45.51662063598633
10	36999.297	0.0	36999.297	36999.297	24.0	1700.1166	19440.002	8503.397	31345.121	4247.0103	264	967.3298	11295565.0	-250.92767	-4624617.5	-0.69153726	0.1812321	0.5416667	2.0	49.7827205657959
11	36709.0	0.0	36709.0	36709.0	24.0	1720.7421	15071.183	10298.179	29560.65	38.224483	288	-1943.6245	17037460.0	-606.3435	-11420518.0	-0.69122565	-0.048929777	0.7916667	79.0	54.37557578086853
12	34613.754	0.0	34613.754	34613.754	24.0	1668.4489	21914.564	8187.6084	32986.26	4003.311	312	3670.053	32713106.0	-401.22705	-28926700.0	-0.6949704	0.08090231	0.16666667	1.0	58.46678876876831
13	34371.86	0.0	34371.86	34371.86	24.0	1671.3695	17371.385	7362.3574	26681.252	1112.1863	336	381.80054	7605481.5	-198.01161	-5324661.0	-0.69502884	0.18505622	0.5	2.0	62.717631816864014
14	40154.34	0.0	40154.34	40154.34	24.0	1889.9547	6389.5835	6494.0723	21000.818	80.5623	360	-10170.6	192662080.0	-1932.0518	-187816830.0	-0.69513	-0.40633842	0.9583333	79.0	67.24900770187378
15	40419.055	0.0	40419.055	40419.055	24.0	1851.3746	30724.328	14986.519	48226.18	3789.342	384	8648.815	156196000.0	-808.7007	-150356240.0	-0.6994196	0.09161565	0.25	1.0	71.37563490867615
